experiment_name,run_id,generation_type,migration_status,esci_label,data_gen_hash,start_idx,end_idx,limit,batch_size,model,runtime_seconds,start_time,end_time
Initial_Generation,52a7259b2e854d7e9838568133a38d63,initial_generation,migrated,I,f2b5403,0,199,200,100,gpt-5,753.7520160675049,2025-09-25 07:10:11.006000+00:00,2025-09-25 07:22:45.041000+00:00
Initial_Generation,3802814759d244af89aae038575f0202,initial_generation,migrated,E,22174f7,0,999,1000,50,gpt-5,842.9801919460297,2025-09-24 10:00:23.311000+00:00,2025-09-24 10:14:26.586000+00:00
Initial_Generation,0c611a39b1844107b10d4f7ac9282770,initial_generation,migrated,E,028ea64,1000,2999,2000,50,gpt-5,796.2853078842163,2025-09-24 10:45:15.589000+00:00,2025-09-24 10:58:32.340000+00:00
Initial_Generation,ccae41ae71b04d34b59ffcae5863274c,initial_generation,migrated,I,cb0e482,3000,3499,500,50,gpt-5,533.0903980731964,2025-10-02 14:26:03.414000+00:00,2025-10-02 14:34:56.786000+00:00
Initial_Generation,0a05ef533f33440f897c42c6bf4c70b4,initial_generation,migrated,C,06faad9,3000,3499,500,50,gpt-5,493.28858613967896,2025-10-02 14:09:25.086000+00:00,2025-10-02 14:17:38.630000+00:00
Initial_Generation,26ed3589a0cd453a8770c6aeba930c47,initial_generation,migrated,S,84d833e,3000,3499,500,50,gpt-5,638.3575608730316,2025-10-02 13:04:22.696000+00:00,2025-10-02 13:15:01.361000+00:00
Initial_Generation,c3e73bf4cd934d1d981e57774cfd2d20,initial_generation,migrated,E,938e19d,3000,3499,500,50,gpt-5,754.9323470592499,2025-10-02 11:51:17.880000+00:00,2025-10-02 12:03:53.095000+00:00
Initial_Generation,c03bcd7b302c4f83b35b73c9acfc5423,initial_generation,migrated,S,a9d0049,6000,6399,400,50,gpt-5,335.42586398124695,2025-09-27 04:14:15.886000+00:00,2025-09-27 04:19:51.557000+00:00
Initial_Generation,9f61abdd8bde40a28208f381504db898,initial_generation,migrated,S,c3eb958,11000,11199,200,100,gpt-5,419.8372027873993,2025-09-25 07:26:39.394000+00:00,2025-09-25 07:33:39.480000+00:00
Initial_Generation,a5fec499e1bc4cdebbe7952da5e6e7ff,initial_generation,migrated,C,04ce98a,14000,14399,400,50,gpt-5,473.2458109855652,2025-09-25 10:55:14.999000+00:00,2025-09-25 11:03:08.517000+00:00
Initial_Generation,a9832c635e3d4b15abb8bbde5736fcd1,initial_generation,migrated,C,dfbb3e5,17000,17299,300,50,gpt-5,261.0405750274658,2025-09-27 04:16:44.900000+00:00,2025-09-27 04:21:06.209000+00:00
Intent_Generation,bc54925269c74aaba03741b1214c7766,intent_generation_2step,migrated_partial,E,48490b2,9000,9999,1000,50,gpt-5,628.953696012497,2025-09-24 18:42:54.750000+00:00,2025-09-24 18:53:23.975000+00:00
